K18 complete graph factorization: all P1F classes with |Aut| > 1

Total: 10710

     |Aut|   classes
         2     10179
         3       351
         4       144
         8        22
        16        12
        17         1
       272         1

Each factorization is listed once, in the canonical form produced by the project
canonizer. Entries are sorted in ascending lexicographic order of that form.


#1 |Aut| = 2
 "   0  8   1 15   2 13   3 14   4 12   5  6   7 17   9 11  10 16 "
 "   0  9   1 14   2 15   3 12   4  7   5 13   6 16   8 10  11 17 "
 "   0 10   1  6   2  5   3 16   4 11   7 13   8 17   9 14  12 15 "
 "   0 11   1  7   2 17   3  4   5 10   6 12   8 15   9 16  13 14 "
 "   0 12   1 16   2 14   3 10   4 17   5 11   6  8   7 15   9 13 "
 "   0 13   1 17   2 11   3 15   4 10   5 16   6 14   7  9   8 12 "
 "   0 14   1 13   2 10   3 17   4  8   5 12   6  9   7 16  11 15 "
 "   0 15   1 12   2 16   3 11   4 13   5  9   6 17   7  8  10 14 "
 "   0 16   1  8   2 12   3  5   4 14   6 15   7 11   9 10  13 17 "
 "   0 17   1  9   2  4   3 13   5 15   6 10   7 14   8 11  12 16 "

#15 |Aut| = 2
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17 "
 "   0  2   1  4   3  6   5  8   7 10   9 12  11 14  13 16  15 17 "
 "   0  3   1  5   2  7   4  9   6 11   8 13  10 15  12 17  14 16 "
 "   0  4   1  3   2  8   5  7   6 13   9 15  10 12  11 16  14 17 "
 "   0  5   1  2   3  9   4  6   7 12   8 14  10 17  11 13  15 16 "
 "   0  6   1 17   2 14   3  4   5 11   7  9   8 12  10 16  13 15 "
 "   0  7   1 16   2  5   3 15   4 10   6  8   9 13  11 17  12 14 "
 "   0  8   1  7   2 13   3 16   4 11   5 17   6 10   9 14  12 15 "
 "   0  9   1  6   2 17   3 12   4 16   5 10   7 11   8 15  13 14 "
 "   0 10   1 12   2 11   3 17   4 15   5 13   6 14   7  8   9 16 "
 "   0 11   1 13   2 16   3 10   4 12   5 14   6  9   7 15   8 17 "
 "   0 12   1 11   2  6   3 14   4 17   5 15   7 13   8 16   9 10 "
 "   0 13   1 10   2 15   3  7   4 14   5 16   6 12   8 11   9 17 "
 "   0 14   1  9   2  4   3 11   5 12   6 15   7 16   8 10  13 17 "
 "   0 15   1  8   2 10   3  5   4 13   6 17   7 14   9 11  12 16 "
 "   0 16   1 15   2  9   3 13   4  8   5  6   7 17  10 14  11 12 "
 "   0 17   1 14   2 12   3  8   4  7   5  9   6 16  10 13  11 15 "

#16 |Aut| = 2
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17 "
 "   0  2   1  4   3  6   5  8   7 10   9 12  11 14  13 16  15 17 "
 "   0  3   1  5   2  7   4  9   6 11   8 13  10 15  12 17  14 16 "
 "   0  4   1  3   2  8   5  7   6 13   9 15  10 14  11 17  12 16 "
 "   0  5   1  2   3  9   4  6   7 12   8 14  10 16  11 15  13 17 "
 "   0  6   1 10   2  4   3 16   5 12   7 15   8 11   9 13  14 17 "
 "   0  7   1 11   2 17   3  5   4 13   6 14   8 12   9 10  15 16 "
 "   0  8   1 16   2  9   3  4   5 10   6 15   7 17  11 12  13 14 "
 "   0  9   1 17   2  5   3  8   4 11   6 16   7 14  10 13  12 15 "
 "   0 10   1  7   2 11   3 13   4 15   5  9   6 17   8 16  12 14 "
 "   0 11   1  6   2 12   3 10   4  8   5 14   7 16   9 17  13 15 "
 "   0 12   1 14   2  6   3 15   4  7   5 17   8 10   9 16  11 13 "
 "   0 13   1 15   2 14   3  7   4 16   5  6   8 17   9 11  10 12 "
 "   0 14   1  9   2 15   3 12   4 17   5 13   6 10   7  8  11 16 "
 "   0 15   1  8   2 13   3 14   4 12   5 16   6  9   7 11  10 17 "
 "   0 16   1 13   2 10   3 17   4 14   5 11   6 12   7  9   8 15 "
 "   0 17   1 12   2 16   3 11   4 10   5 15   6  8   7 13   9 14 "

#17 |Aut| = 2
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17 "
 "   0  2   1  4   3  6   5  8   7 10   9 12  11 14  13 16  15 17 "
 "   0  3   1  5   2  7   4  9   6 11   8 13  10 15  12 17  14 16 "
 "   0  4   1  3   2  8   5  7   6 13   9 15  10 14  11 17  12 16 "
 "   0  5   1  2   3  9   4  6   7 12   8 14  10 16  11 15  13 17 "
 "   0  6   1 12   2  9   3 13   4 10   5 15   7 11   8 16  14 17 "
 "   0  7   1 13   2 12   3  8   4 14   5 11   6 10   9 17  15 16 "
 "   0  8   1 15   2 13   3 16   4 11   5  9   6 14   7 17  10 12 "
 "   0  9   1 14   2 17   3 12   4  8   5 10   6 16   7 15  11 13 "
 "   0 10   1 16   2 14   3 11   4  7   5 17   6  8   9 13  12 15 "
 "   0 11   1 17   2 10   3 15   4 16   5  6   7  9   8 12  13 14 "
 "   0 12   1 10   2  5   3  7   4 13   6 15   8 17   9 14  11 16 "
 "   0 13   1 11   2  6   3  4   5 12   7 14   8 15   9 16  10 17 "
 "   0 14   1  7   2 15   3 17   4 12   5 16   6  9   8 11  10 13 "
 "   0 15   1  6   2 16   3 14   4 17   5 13   7  8   9 10  11 12 "
 "   0 16   1  9   2 11   3  5   4 15   6 17   7 13   8 10  12 14 "
 "   0 17   1  8   2  4   3 10   5 14   6 12   7 16   9 11  13 15 "

#18 |Aut| = 2
